Designator,Mid X,Mid Y,Rotation,Layer
D_0,110.4165,-161.715,90.0,bottom
D_1,129.4665,-161.715,90.0,bottom
D_10,334.95375,-161.715,90.0,bottom
D_11,354.00375,-161.715,90.0,bottom
D_12,373.05375,-161.715,90.0,bottom
D_13,392.10375,-161.715,90.0,bottom
D_14,411.15375,-161.715,90.0,bottom
D_15,449.25375,-161.715,90.0,bottom
D_16,478.279,-161.915,90.0,bottom
D_17,497.06675,-161.915,90.0,bottom
D_18,105.654,-180.765,90.0,bottom
D_19,124.704,-180.765,90.0,bottom
D_2,158.0415,-161.715,90.0,bottom
D_20,167.5665,-180.765,90.0,bottom
D_21,186.6165,-180.765,90.0,bottom
D_22,205.6665,-180.765,90.0,bottom
D_23,224.7165,-180.765,90.0,bottom
D_24,243.7665,-180.765,90.0,bottom
D_25,262.8165,-180.765,90.0,bottom
D_26,281.629,-180.74,90.0,bottom
D_27,325.42875,-180.765,90.0,bottom
D_28,344.47875,-180.765,90.0,bottom
D_29,363.52875,-180.765,90.0,bottom
D_3,177.0915,-161.715,90.0,bottom
D_30,382.57875,-180.765,90.0,bottom
D_31,401.62875,-180.765,90.0,bottom
D_32,420.67875,-180.765,90.0,bottom
D_33,449.25375,-180.765,90.0,bottom
D_34,482.59125,-180.765,90.0,bottom
D_35,501.379,-180.765,90.0,bottom
D_36,100.8915,-199.815,90.0,bottom
D_37,119.9415,-199.815,90.0,bottom
D_38,172.329,-199.815,90.0,bottom
D_39,191.379,-199.815,90.0,bottom
D_4,196.1415,-161.715,90.0,bottom
D_40,210.429,-199.815,90.0,bottom
D_41,229.479,-199.815,90.0,bottom
D_42,248.529,-199.815,90.0,bottom
D_43,267.3415,-199.79,90.0,bottom
D_44,311.14125,-199.815,90.0,bottom
D_45,330.19125,-199.815,90.0,bottom
D_46,349.24125,-199.815,90.0,bottom
D_47,368.29125,-199.815,90.0,bottom
D_48,387.34125,-199.815,90.0,bottom
D_49,406.39125,-199.815,90.0,bottom
D_5,215.1915,-161.715,90.0,bottom
D_50,449.25375,-199.815,90.0,bottom
D_51,487.35375,-199.815,90.0,bottom
D_52,506.1415,-199.815,90.0,bottom
D_53,105.654,-218.865,90.0,bottom
D_54,124.704,-218.865,90.0,bottom
D_55,181.854,-218.865,90.0,bottom
D_56,200.904,-218.865,90.0,bottom
D_57,219.954,-218.865,90.0,bottom
D_58,239.004,-218.865,90.0,bottom
D_59,258.054,-218.865,90.0,bottom
D_6,234.2415,-161.715,90.0,bottom
D_60,276.8665,-218.84,90.0,bottom
D_61,320.66625,-218.865,90.0,bottom
D_62,339.71625,-218.865,90.0,bottom
D_63,358.76625,-218.865,90.0,bottom
D_64,377.81625,-218.865,90.0,bottom
D_65,396.86625,-218.865,90.0,bottom
D_66,449.25375,-218.865,90.0,bottom
D_67,482.59125,-218.865,90.0,bottom
D_68,501.379,-218.865,90.0,bottom
D_69,110.4165,-237.915,90.0,bottom
D_7,253.2915,-161.715,90.0,bottom
D_70,129.4665,-237.915,90.0,bottom
